Site,Position,Enviroment,Convience ,Daytime,Nightime,Sign,China Mobile,China United Network ,Other mobile operator,China Telecommunications Corporation,sanitation,free parking hours,convention center,residential zone,convinence stores,parking lots,but stops,business building,theater,hospital,restroom,shopping mall,Price,Demand,Num of Charger open in day time,Number of night-only charger ,total number of charger,number of competitors' charger,competitors' price,the eletricity sell amount per day
18,3,0,1,1,1,0,1,0,1,0,1,3,0,5,2,10,1,4,0,0,1,0,1.6,3245,2,0,2,58,0.344827586,1572379
19,1,1,1,0,1,1,1,0,0,0,1,3,0,0,1,5,0,2,0,1,0,0,1.7,2968,0,20,20,36,0.5,605648
20,3,1,1,1,1,0,1,0,0,0,1,3,0,0,0,1,1,0,0,3,0,0,1.7,2733,4,0,4,5,0.2,771363
21,2,0,1,1,1,1,1,0,0,0,1,3,1,6,4,12,0,2,0,1,0,0,1.7,3105,20,0,20,43,0.627906977,2472617
22,3,1,1,1,1,0,1,0,0,0,1,2,0,8,4,6,0,8,0,1,1,0,1.6,2968,3,0,3,36,0.472222222,2800960
23,1,0,1,1,1,1,1,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1.8,2559,4,0,4,18,0.5,1145910
24,1,0,1,1,1,1,1,0,0,0,1,3,0,4,1,6,2,5,0,1,0,0,1.7,1840,10,0,10,15,0.733333333,1170708
25,3,0,1,1,1,0,1,0,0,0,1,3,0,1,2,7,2,0,0,0,0,2,1.7,3228,10,0,10,111,0.234234234,6716109
26,3,0,1,1,1,1,1,0,0,0,1,3,0,6,8,8,9,3,1,0,1,0,1.6,2336,2,0,2,44,0.545454545,1190347
27,1,0,1,1,1,1,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1.6,2706,4,0,4,57,0.561403509,1693293
28,1,0,1,1,1,1,1,0,0,0,1,2,0,1,2,8,0,0,0,1,3,0,1.65,2966,20,0,20,52,0.653846154,5071742
29,1,0,1,1,1,1,1,0,0,0,0,1,1,6,4,24,2,8,0,1,0,0,1.65,3313,16,8,24,71,0.38028169,5839997
30,3,1,1,1,1,1,1,0,0,0,1,3,0,6,6,10,1,45,0,0,1,0,1.6,3203,8,0,8,66,0.484848485,3704354
31,3,1,1,1,1,1,1,0,0,0,1,3,0,1,0,10,1,123,0,0,5,0,1.7,3114,6,14,20,93,0.655913978,5030197
32,1,0,1,1,1,1,1,0,0,0,1,3,0,4,1,1,1,2,0,0,0,1,1.6,2780,12,0,12,38,0.210526316,3008656
33,1,1,1,1,1,1,1,0,0,0,2,3,0,0,0,3,1,16,0,0,0,0,1.5,2118,6,0,6,48,0.270833333,5864913
34,3,0,1,1,1,0,1,0,0,0,2,3,0,2,3,0,2,0,0,0,0,0,1.6,3147,2,0,2,19,0.157894737,1249778
35,1,0,1,1,1,1,1,0,0,0,2,3,0,16,2,18,2,5,0,0,1,0,1.7,3250,2,0,2,58,0.603448276,1019005
36,3,0,1,1,1,0,1,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1.7,2122,2,0,2,29,0.689655172,410085
37,3,0,1,1,1,0,1,0,1,0,1,2,0,1,0,2,1,4,0,1,0,0,1.7,2844,4,0,4,49,0.755102041,3441407
38,3,0,1,1,1,0,1,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,1.6,2383,10,0,10,28,0.642857143,4333394
39,3,1,1,1,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1.5,2722,12,0,12,4,0.25,6805793
40,3,0,1,1,1,0,1,0,0,0,2,2,0,2,0,1,2,8,0,0,1,0,1.6,3054,2,0,2,37,0.513513514,1192441
41,3,0,1,1,1,0,1,0,1,0,1,3,0,7,5,11,2,3,0,0,1,0,1.6,2918,6,0,6,49,0.693877551,2017537
42,1,0,1,1,1,0,1,0,0,0,1,2,0,10,4,13,1,68,0,3,1,3,1.7,3375,2,0,2,88,0.818181818,1108016
