"","Position","Enviroment","Sign","Other.mobile.operator","sanitation","free.parking.hours","convention.center","residential.zone","convinence.stores","parking.lots","but.stops","business.building","hospital","restroom","shopping.mall","Price","Demand","Num.of.Charger.open.in.day.time","Number.of.night.only.charger","total.number.of.charger","number.of.competitors..charger","competitors..price"
"48",3,1,0,1,1,3,0,0,0,0,0,0,0,1,0,1.7,1360,6,0,6,10,0.8
"49",1,1,1,0,0,3,0,8,9,5,1,61,0,0,0,1.7,3250,6,0,6,58,0.603448276
"50",1,0,1,1,1,3,0,1,3,5,3,16,0,2,0,1.8,2604,30,0,30,25,0.72
"51",3,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1.5,1084,20,0,20,3,0.333333333
"52",3,0,1,0,1,3,0,1,1,2,2,9,0,1,0,1.6,2119,10,0,10,14,0.428571429
"53",3,0,0,0,1,3,0,1,1,2,3,22,0,0,0,1.6,2122,6,0,6,29,0.310344828
"54",3,0,0,0,0,2,0,0,0,1,2,4,0,0,0,1.6,2989,6,0,6,39,0.256410256
"55",3,1,0,0,1,3,0,3,1,0,0,20,0,0,1,1.7,3132,2,0,2,16,0.25
"56",2,0,1,0,1,3,0,2,2,4,0,0,0,0,0,1.5,2931,4,0,4,7,0.285714286
"57",3,1,0,0,0,3,0,0,3,2,2,25,1,1,0,1.6,3162,6,0,6,48,0.3125
"58",3,0,1,0,0,3,0,0,0,0,1,0,1,0,0,1.6,3172,4,0,4,24,0.5
"59",3,0,1,0,1,3,0,2,1,0,0,1,0,1,0,1.7,2354,6,0,6,10,0.9
"60",3,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1.7,2907,4,0,4,50,0.8
"61",1,0,0,0,0,3,0,0,1,1,3,2,1,0,0,1.7,2383,6,0,6,40,0.525
